framework,model,exp_num,proving_time,memory_usage,cpu_usage
ezkl,mlp,1,0.27,17408,492%
o1js,mlp,1,113.65,738228,494%
ezkl,mlp,2,0.35,17920,503%
o1js,mlp,2,112.09,736992,494%
ezkl,mlp,3,0.52,19224,513%
o1js,mlp,3,111.58,822580,484%
ezkl,mlp,4,0.81,21004,506%
o1js,mlp,4,111.54,822764,492%
ezkl,mlp,5,0.93,21032,490%
o1js,mlp,5,110.35,734652,493%
ezkl,mlp,6,1.53,24960,477%
o1js,mlp,6,111.83,826932,490%
ezkl,mlp,7,2.63,34020,473%
o1js,mlp,7,110.89,735680,487%
ezkl,mlp,8,7.00,74108,472%
o1js,mlp,8,111.65,738708,488%
ezkl,mlp,9,13.30,98032,461%
o1js,mlp,9,111.10,736084,482%
ezkl,mlp,10,21.76,146404,460%
o1js,mlp,10,112.60,739624,485%
ezkl,mlp,11,41.54,265616,455%
o1js,mlp,11,112.38,737564,481%
ezkl,mlp,12,82.11,505636,456%
o1js,mlp,12,111.42,738868,475%
ezkl,mlp,13,164.78,984256,473%
o1js,mlp,13,113.88,818816,447%
ezkl,mlp,14,327.52,1921936,464%
o1js,mlp,14,118.09,737316,406%
ezkl,mlp,15,638.70,3791164,458%
o1js,mlp,15,121.77,738688,361%
