framework,model,exp_num,proving_time,memory_usage,cpu_usage
ezkl,mlp,1,48.42,1279920,534%
o1js,mlp,1,121.38,819840,537%
risczero,mlp,1,320.53,2275808,623%
ezkl,mlp,2,49.36,1281616,523%
o1js,mlp,2,163.94,868416,504%
risczero,mlp,2,315.01,2280688,706%
ezkl,mlp,3,48.95,1310832,533%
o1js,mlp,3,152.34,884912,531%
risczero,mlp,3,309.08,2269584,725%
ezkl,mlp,4,50.12,1277776,524%
o1js,mlp,4,156.15,865776,519%
risczero,mlp,4,320.49,2277424,689%
ezkl,mlp,5,51.29,1298224,526%
o1js,mlp,5,195.81,896912,465%
risczero,mlp,5,310.82,2280048,713%
